,Year,Team,W,L,G,IP,ERA,WHIP,H,R,BB,SHO
0,2016,Philadelphia Phillies,3,5,11,63.1,5.54,1.33,67,42,17,1
1,2017,Philadelphia Phillies,1,5,11,64.1,6.16,1.41,79,45,12,0
2,2018,Philadelphia Phillies,11,8,24,128.0,4.36,1.30,130,69,37,0
3,2019,Philadelphia Phillies,10,13,32,163.1,4.13,1.35,172,88,48,1
4,2020,Philadelphia Phillies,4,2,11,59.0,3.97,1.27,60,28,15,1
5,2021,Philadelphia Phillies,4,7,18,105.2,4.17,1.25,116,52,16,0
6,2022,Philadelphia Phillies,3,5,20,75.2,4.04,1.12,70,38,15,0
